10151475870412592_10052251	j
167452283314675_1778757	i love it!!!!!!!!!!!!!!!!!!!
174233335946531_2161869	dave?
174233335946531_2162262	I loved it
174233335946531_2162990	Love it
174233335946531_2191219	love it
174233335946531_2296980	love it
174233335946531_2439248	jajajajajaj
125299064202566_674017	i love u
119449558124781_496297	I'm a sexy ninja. <3
119449558124781_496341	2 b nicer
119449558124781_496995	love love love love love love love!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! :)
481958737591_3611893	lolzz:)
481958737591_3611900	Love it
481958737591_3612384	Lov it
481958737591_3612897	fav movie
481958737591_3615217	i love the kareoke part
480345842591_8867970	love it !
176253002408694_2206366	Slavic
478854622591_3575470	love it
478854622591_3575765	i love you
478854622591_3576418	i like the movie, despicable family .... jejjeje
478854622591_3585327	I love it.
132985690094390_972767	<3<3 love it!
132985690094390_1244160	i love it
164925490217165_1901296	dave?
164925490217165_1901368	1.banana!!!!2.home make over
164925490217165_1901440	Home Makeover & Banana :D
164925490217165_1901462	home make over & banana: D
164925490217165_1901640	Banana jajaja
164925490217165_1901749	love the mini movie Bananas
164925490217165_1901997	I loved banana! :)
164925490217165_1943436	i loved banana
172373536136758_2137377	i love it!!!
172373536136758_2137781	good movie
178032868890699_2210268	i love love love love love love love love love love love............this movie! its Perrrfect!
171943392838438_2073013	ok! ...?
172439776121234_2121080	love it
180160988676210_2251312	love it!
180160988676210_2252170	love it love it
109464775793330_209740	Vvvbv.                                                                                                                                                                                              :& V
115986868466679_430631	good movie so good
107295762675741_157099	COD rulez!
151436671569473_1500996	ok!
151436671569473_1501332	http://www.facebook.com/natalie.esposito?v=app_2392950137#!/video/video.php?v=445179389351
151436671569473_1501435	i didn't see Gru :( but nice job :)
151436671569473_1502214	ok
172627856098421_2041322	ok
172627856098421_2041343	ok
172627856098421_2043265	ok
172627856098421_2047588	http://www.facebook.com/natalie.esposito?v=app_2392950137#!/video/video.php?v=445179389351
155884111120813_1621355	Make me some pancakes!
457575812591_3354639	Love!
457575812591_3358287	zOMG so kewl :3
457575812591_4980760	love
457575812591_6023643	love it
101321519939523_25169	i love it
101321519939523_25177	love it :)
101321519939523_25228	love it
101321519939523_25236	lovin it
117458298318978_453477	ok
456182422591_3357081	ok
144233898957249_1280436	No... more like adorable!
173759472640595_2023453	ALmost got me lol
173759472640595_2026352	nope i loved it!!!
164075876958668_1831365	Love  Love  Love  Love  Love  Love  Love  Love
138078786242155_1077959	evil******^^^^^
142596105787865_1228436	My Mom.. LOL j/k.
160554780631514_1714979	ok?
155987431099682_1603263	jkgcWLEEGHDFALERWDFL
440399612591_3141565	not me.   -_-
440399612591_3164774	' i love    moives
440399612591_8122918	Omgosh:z
128496593868975_777789	I love it
128496593868975_777921	love lol
128496593868975_778031	love it
128496593868975_778193	i just love it
128496593868975_778225	love it(:
128496593868975_784183	love it
128496593868975_785868	love love love love!!!!!
162485567099251_1695240	i  love  it.
431532751375_13743250	Love?
431532751375_13744738	love diz movie
152407381448276_1458508	no it means "like a donkey"
152407381448276_1458533	like a donkey
152407381448276_1458591	Jajjaja like a donkey llz
152407381448276_1458602	Jajjaja like a donkey llz loved dat part
152407381448276_1458745	**like a donkey
152407381448276_1458772	Like a donkey
152407381448276_1458808	like a donkey
152407381448276_1458948	jeje burro ... donkey :D
152407381448276_1459043	like a donkey!
152407381448276_1459172	like a donkey XD
152407381448276_1459185	like a donkey
152407381448276_1459285	ja such a funny line..love da movie...burro = donkey ja donkey face
152407381448276_1459293	like a donkey...
152407381448276_1459391	Face like a donkey
152407381448276_1459434	like a donkey
152407381448276_1459616	like a donkey!
152407381448276_1459675	like a donkey
152407381448276_1459680	like a donkey?
152407381448276_1459770	like a donkey lol
152407381448276_1528411	so like a donkey.
145645118808218_1296990	love love it!
145645118808218_1303742	i love it!!!
420135297591_2830393	oh poop
420135297591_2831011	oh poop
420135297591_2831625	ok
420135297591_2831756	oh poop
420135297591_2832993	i love tat movie
420135297591_2835917	no i dont like him i <3 GRU
420135297591_2838240	bcvjl.'4'lnjbn
420135297591_2853302	oh poop
420135297591_2968765	evil!
420135297591_3357093	ok
420135297591_8431992	te amo hijito }}}
