10151475870412592_10052246	Unicorn! M gonna die.
10151422651655163_25510115	Areanna Carone
10151422651655163_25510162	Nicole Morina
10151422651655163_25511489	Lol
10151422651655163_25511552	Brianna Gerondale lol
10151422651655163_25512308	Lol
10151422651655163_25513533	Roxanna Chapa Ruiz
10151422651655163_25514091	Lol
10151422651655163_25514899	Foreal imma take ma son nd go see dis
10151422651655163_25515149	Ivette Diaz
10151422651655163_25515522	Gotta see!
10151422651655163_25515931	Margarita Gonzalez
10151422651655163_25516105	Lol
10151422651655163_25516484	Yessenia Negron
10151422651655163_25516530	Yessenia quack quack lol<3
10151422651655163_25516812	Lupe Arriaga
10151422651655163_25517253	Abby Mascellino
10151422651655163_25517544	Vianca Paola
10151422651655163_25518240	Adrian Razo we gotta gooo
10151422651655163_25521982	Val Cruz
10151422651655163_25524269	Bonita pelicula,me recuerda a una mi nietecita Ana Marie
10151422651655163_25525574	Ninia Motsonelidze batito bolos ::D
10151422651655163_25535368	Nancy Gimenez
10151422651655163_25535669	l Itzel Alvizo haha
10151422651655163_25536571	Gilberto Davalos
10151422651655163_25538476	Daria Lilian Diaz-Gamez :D
10151422651655163_25538626	lol i love little agneis
10151422651655163_25539360	Gloria Nila
10151422651655163_25539608	Francisco Ivan Gonzalez
10151422651655163_25542991	Too cute. Lol.
10151422651655163_25546885	I'm d.a Melanie Mendez
10151422651655163_25550067	Shakira Santana Caroline Lopes love it!!!! lol
10151408218702592_9742830	It came to va.
10151408218702592_9743187	Claudia Zuriarrain
10151408218702592_9745056	so cutee
10151407826887592_9739967	so cute <3<3<3
10151407826887592_9740014	☺ so cute☺
10151407826887592_9740174	Done!
10151407826887592_9740460	so cute <3
10151407826887592_9744147	so cute :x
10151407826887592_9745172	nice
10151407826887592_9745267	cute agnas
10151407826887592_9753917	Cristian Aguilera pio pio
10151407826887592_9756380	nice
10151407826887592_9817429	Marco Consonni
10151405427227592_9724928	Spaghetti Taco Tuesday ;)
10151405427227592_9725115	chido
10151405427227592_9725172	I LOVE U MIRANDA!!!
10151405427227592_9725479	cutenesss
10151405427227592_9726896	Natalie 󾌸
10151405427227592_9743797	esta si me gusta Momo Jordison !!(:
10151405427227592_9749154	feliz aniversario :)  :)
10151405427227592_9767477	I LOVE !CARLY
10151405427227592_9770674	orale
10151405427227592_9803992	Immortal.
10151405427227592_10022255	icarl! cupcake
10151404381412592_9719143	i can't
10151404381412592_9719165	Caroline Safran!!!!!!!!!!!!!
10151404381412592_9719179	1000 billion
10151404381412592_9719205	1 trillion
10151404381412592_9719213	Jabillion
10151404381412592_9719298	7 or 6 billion
10151404381412592_9719309	Rosie Gonzales
10151404381412592_9719320	1 billion :D
10151404381412592_9719335	Rafael Xeneize Sorto
10151404381412592_9719363	Infinite
10151404381412592_9719448	Million
10151404381412592_9719474	billionare
10151404381412592_9719484	novemdecillion..........
10151404381412592_9719490	Despicamillion
10151404381412592_9719503	A brazilion
10151404381412592_9719536	Million
10151404381412592_9719539	Close to 2 million
10151404381412592_9719546	Millions
10151404381412592_9719587	600 million minions
10151404381412592_9719642	I minion
10151404381412592_9719661	Alicia Steagall
10151404381412592_9719682	1million minions
10151404381412592_9719688	A...billion?
10151404381412592_9719694	Millions
10151404381412592_9719699	a million minions
10151404381412592_9719715	2million minion
10151404381412592_9719775	million minion
10151404381412592_9719851	Lol my favorite movie
10151404381412592_9719976	A million
10151404381412592_9720016	Lorenza Fabre Vega im so excited!!!!!!!
10151404381412592_9720030	Million
10151404381412592_9720034	Maggie
10151404381412592_9720036	I <3 minions
10151404381412592_9720080	Trillions
10151404381412592_9720115	6 billion
10151404381412592_9720117	One billion
10151404381412592_9720143	5 billion
10151404381412592_9720253	A million minion
10151404381412592_9720339	2million minions
10151404381412592_9720384	i bet gazillion minions
10151404381412592_9720403	billions
10151404381412592_9720464	1 billion
10151404381412592_9720468	eleventy-five gazillion?
10151404381412592_9720470	Catalina Ortiz Suarez :3
10151404381412592_9720593	Millions
10151404381412592_9720761	Gonna go see it
10151404381412592_9720905	I love d minions
10151404381412592_9720953	a billion
10151404381412592_9721068	Trillions
10151404381412592_9721252	6 billon
10151404381412592_9721304	Lol
10151404381412592_9721347	Bazillions
10151404381412592_9721762	1 billion 
10151404381412592_9721942	A bazillion kajillion quadrillion!!!!:-)
10151404381412592_9722245	Silica Bhukta
10151404381412592_9722255	Silica Bhukta
10151404381412592_9722452	Canon Lim
10151404381412592_9722502	Gautam Poptani pucha nai.....especially bola
10151404381412592_9722517	infinite
10151404381412592_9722535	Over a million
10151404381412592_9722725	21.5billion
10151404381412592_9722804	A billion minions lol
10151404381412592_9722861	Thea Tonks Maria Ioanidi mazi!!
10151404381412592_9722939	87.billion
10151404381412592_9723187	2 billion
10151404381412592_9723703	Million
10151404381412592_9723826	a trillion
10151404381412592_9724162	Zillion
10151404381412592_9724822	1 trillion
10151404381412592_9724894	close to a million
10151404381412592_9725334	2013 million minions
10151404381412592_9726441	Gotta see it..
10151404381412592_9726715	alot
10151404381412592_9727568	Felipe! YES!!!!
10151404381412592_9728630	Millions
10151404381412592_9729015	1 minion... I meant million....
10151404381412592_9734172	one billion!!!
10151404381412592_9735659	1 trillion
10151404381412592_9735663	123456789.00 billion.
10151404381412592_9735860	2 billion minions
10151404381412592_9735873	4 trillion
10151404381412592_9736100	5 kazillion.
10151404381412592_9736108	Tianna Urrea
10151404381412592_9736333	132 trillion
10151404381412592_9736564	Antonio Sanchez
10151404381412592_9736575	8 billion
10151404381412592_9736989	Mia Isabella Franco
10151404381412592_9737132	I LOVE MINIONS
10151404381412592_9738077	Millions
10151404381412592_9738506	Billions
10151404381412592_9738740	Billions
10151404381412592_9739870	Infinite!!!!!!!!!!
10151404381412592_9740287	A million minions
10151404381412592_9740657	A million minions
10151404381412592_9740718	A billion minions
10151404381412592_9740978	6Billion
10151404381412592_9741471	a lottttt lol
10151404381412592_9742603	2 Millon minions
10151404381412592_9742618	1 billion minions /drevil
10151404381412592_9742991	1million minions
10151404381412592_9742999	a billion trillion minions
10151404381412592_9743040	a "minion" (million) minions
10151404381412592_9743118	5 trillion
10151404381412592_9743345	million n trillon
10151404381412592_9743611	A gazillion
10151404381412592_9743817	Julia Caparotta <3 <3 <3 !!!!!
10151404381412592_9743971	A  G- o- z- i- l- l- i- o- n!!!!!!!! hehehe
10151404381412592_9744886	I love minions! lol
10151404381412592_9744952	2trillion
10151404381412592_9745342	Million
10151404381412592_9745414	billions
10151404381412592_9745665	6 billion.
10151404381412592_9748863	40billion!!!
10151404381412592_9750121	One Million
10151404381412592_9750409	7 Billion?
10151404381412592_9750703	I love minions.
10151404381412592_9751437	3 trillion
10151404381412592_9751663	Millions
10151404381412592_9752231	A million
10151404381412592_9752600	infinote millon trillion
10151404381412592_9754211	Million
10151404381412592_9756362	Billion
10151404381412592_9758058	69 Million
10151404381412592_9758113	Trillions
10151404381412592_9758477	Lol
10151404381412592_9760909	1 billion trillion zillion minions
10151404381412592_9761021	2 billion lol <3
10151404381412592_9761186	stfu 1 trillion
10151404381412592_9761719	Over 1trilllion
10151404381412592_9762203	A billion
10151404381412592_9762233	3 billion
10151404381412592_9762323	5 trillion
10151404381412592_9762919	1 million minions
10151404381412592_9763351	A million
10151404381412592_9763487	trillion
10151404381412592_9763550	Bazillion million.
10151404381412592_9764805	1.2 million minions
10151404381412592_9765801	7.4 billion C:
10151404381412592_9765848	1 Million
10151404381412592_9766486	8 million!!!!! I THINK
10151404381412592_9767039	1 million minion march
10151404381412592_9767337	8.5 billion
10151404381412592_9767452	8.6 trillion
10151404381412592_9767977	3 Billion.
10151404381412592_9768102	one Million
10151404381412592_9768122	10 billion
10151404381412592_9768139	7 billion :3
10151404381412592_9768263	1.2 billion
10151404381412592_9768358	infinite!!!!
10151404381412592_9768402	A Million minions
10151404381412592_9768920	Million
10151404381412592_9769666	alot
10151404381412592_9769760	Million
10151404381412592_9774699	700 trillion
10151404381412592_9775496	Millions
10151404381412592_9776144	1 minllion?
10151404381412592_9778053	infinite
10151404381412592_9778071	a million
10151404381412592_9782463	a zillion :D
10151404381412592_9784339	1 billion
10151404381412592_9847257	10178453456997668645567696898609666887988990 alies
10151404381412592_9953523	Infinite
10151414564815163_25129317	Casmira Schilling
10151414564815163_25129360	Lol
10151414564815163_25129373	I can die!!!!!
10151414564815163_25129415	I LOVE IT!
10151414564815163_25129425	Dacia Marie Vollin :D
10151414564815163_25129496	Melissa Rivera
10151414564815163_25129534	voglio vederlo !!!!!
10151414564815163_25129553	Camille Motta
10151414564815163_25129563	agnes is so cute i'm gonna die...
10151414564815163_25129605	I LOVE AGNES
10151414564815163_25129675	Brianna Nicole Biersack <3
10151414564815163_25129706	Nicole Tapia
10151414564815163_25129737	Mirna Noemi Martinez
10151414564815163_25129784	Lol
10151414564815163_25129785	So cute!
10151414564815163_25129792	Omg! I'm gonna die!
10151414564815163_25129805	Hailee Sarrell Savoy
10151414564815163_25129850	Erica Sanchez
10151414564815163_25129858	Lol
10151414564815163_25129871	Giuseppe Porri
10151414564815163_25129893	Lisa Alicea Mertz
10151414564815163_25129928	NataLia Garcia
10151414564815163_25129942	Lori Trotter
10151414564815163_25130173	prewcius
10151414564815163_25130217	Lol
10151414564815163_25130295	Cant waittttttttttttttttt
10151414564815163_25130399	Tita Allegretti
10151414564815163_25130452	Lol
10151414564815163_25130458	Kunal omg so cute!
10151414564815163_25130743	Valerie Perugini Sullivan
10151414564815163_25130772	Maggie Cabrera
10151414564815163_25130923	Miguel Sanchez
10151414564815163_25130992	Lol
10151414564815163_25131016	Gabi Finestone SO EXCITED
10151414564815163_25131057	nice....
10151414564815163_25131063	Tzipora Jeppesen
10151414564815163_25131162	Como me recuerda a mi la little girlAna Guzman
10151414564815163_25131289	Lol
10151414564815163_25131377	Lori Lori Mendez
10151414564815163_25131386	too cute gotta see it
10151414564815163_25131458	Ana Gonzalez
10151414564815163_25131508	so cute!
10151414564815163_25131703	Leslie Randall Spring
10151414564815163_25131871	lol so cute
10151414564815163_25131979	so cute!!!!
10151414564815163_25132113	Linda Ware Pecora Gianna Nicole
10151414564815163_25132153	Jessica Colina
10151414564815163_25132653	Anna Lammi!
10151414564815163_25132723	lol i love it
10151414564815163_25132764	so cute <3
10151414564815163_25132840	So cute!
10151414564815163_25132842	Naomi Xue
10151414564815163_25133356	Michelle Casas
10151414564815163_25133410	OMG.! Gotta see
10151414564815163_25133601	nice
10151414564815163_25133674	Lol
10151414564815163_25133678	So cute! <3
10151414564815163_25133727	Jessi Walcott
10151414564815163_25134244	Bryan Velazquez *crossed
10151414564815163_25134296	So cute.
10151414564815163_25134330	so cute
10151414564815163_25134508	Mirella Topich
10151414564815163_25134528	so cute!
10151414564815163_25134796	Letta Cato
10151414564815163_25134927	Eli Garcia de Lucero i love u watch it all
10151414564815163_25135049	so cute :)
10151414564815163_25135074	so cute
10151414564815163_25135131	so cute :x
10151414564815163_25135190	Lol
10151414564815163_25135307	So cute ;)
10151414564815163_25135576	col
10151414564815163_25135704	so...cute..
10151414564815163_25135890	nice
10151414564815163_25135999	LOL so FUNNY
10151414564815163_25136084	Laura Griffith
10151414564815163_25136138	Kelli McDonough
10151414564815163_25136259	Lol
10151414564815163_25136292	so cute
10151414564815163_25136372	Lori Celeste
10151414564815163_25136657	so cute! XD
10151414564815163_25137173	Sogol Cohanim movie date?
10151414564815163_25137291	so cute agnes
10151414564815163_25137340	Jill Luciani
10151414564815163_25137356	Aaron Patterson
10151414564815163_25137458	can'ttttttttttttttttttttttttttttttt waitttttttttttttttttttttttttttttt :((
10151414564815163_25137721	Clarie Glice oh
10151414564815163_25138510	so "CUTE"............^_^
10151414564815163_25138515	so"CUTE".....^_^
10151414564815163_25139167	Veronika Olivia Stella M Tesza Fransiska Talitha Clarissa Monica
10151414564815163_25139311	So cute!
10151414564815163_25139374	Rebecca Fibi Rusli
10151414564815163_25140393	Lol
10151414564815163_25140470	0:17, priceless...
10151414564815163_25140550	so cute!
10151414564815163_25140595	real cute
10151414564815163_25140897	miz agnes
10151414564815163_25141123	Sandra Milena LOL 
10151414564815163_25141417	Krizia Rodriguez I wanna see it
10151414564815163_25143710	Renzi Ocampo-Cruz
10151414564815163_25147619	so so so cute~~~
10151414564815163_25148167	gotta see it
10151414564815163_25148682	nice
10151414564815163_25148812	soo cute :)
10151414564815163_25150282	i love yu AGNESSSSS!!! so cute.
10151414564815163_25151209	,,nice,,
10151414564815163_25160303	Aaron Cornell
10151414564815163_25171468	Lol
10151414564815163_25180451	lindo
10151414564815163_25188768	amazing
10151414564815163_25195614	Zill Trivedi Lol
10151414564815163_25196424	Nicole Brandel
10151414564815163_25199566	so cute...
10151414564815163_25229767	LOL ciute
10151414564815163_25234033	OMG!!! so cute
10151414564815163_25279314	Jennay Diaz Veronica Dominguez
10151414564815163_25306145	Rachel Rabinovich
10151414564815163_25367265	so cute
10151414564815163_25409947	Veronica Moreno
10151414564815163_25509005	so cute
10151414564815163_25525914	Ainsssss Ana Larazzy cositaaa
10151414564815163_25542628	Marisol Gasca
10151399483992592_9688826	Lol
10151399483992592_9690725	lol, I love Gru
10151398090192592_9679630	Lol
10151398090192592_9679641	Lol
10151398090192592_9679768	Lol
10151398090192592_9679775	I LOVE U GRU...ggls♥♡♥
10151398090192592_9679843	Lol I love it
10151398090192592_9680211	Lol
10151398090192592_9680290	Lol
10151398090192592_9680304	Lol
10151398090192592_9680494	My girls' favorite line!
10151398090192592_9681255	My favorite movie!!!
10151398090192592_9681323	Lol
10151398090192592_9681339	My favorite line, so classic!
10151398090192592_9681354	My favorite movie!!!
10151398090192592_9681379	Gabi Finestone
10151398090192592_9681703	Lol
10151398090192592_9682235	Lol
10151398090192592_9682379	classic lol
10151398090192592_9682496	Lol
10151398090192592_9682682	Nice scene
10151398090192592_9683991	Lol
10151398090192592_9684548	usi gde cu usi
10151398090192592_9686420	Lol
10151398090192592_9689319	So groos como dice mi pavito....
10151398090192592_9695172	superb scene
10151398090192592_9863377	Lol
10151396923342592_9670621	Im a star
10151396923342592_9672156	I sea star
10151396923342592_9672197	up a ti a pa
10151396923342592_9682267	Minion deep sea diving
10151395822147592_9662122	I have no idea
10151394152947592_9647192	Veronica Morales pinkie promise?????
10151394152947592_9647226	Its so fluffy im gonna die.
10151394152947592_9648333	Danielle Gibbon
10151394152947592_9649472	Rebecca DeRenzo
10151394152947592_9650150	I use: FLUFFY!!!!
10151394152947592_9651014	supa cute!
10151394152947592_9651143	"Its so fluffy, I'm gonna die" :*
10151394152947592_9759425	Its so fluffy i'm gonna die!
10151392572057592_25950758	Allana Ford, Laura A-f, Sandra Froehlich
10151392572057592_25950802	Come to Cali
10151392572057592_25950847	Come to airzona
10151392572057592_25951355	Come to chattanooga
10151392572057592_25951667	Geca!!!!!!!!!!!!
10151392572057592_25952101	Come to Georgia!!!
10151392572057592_25952103	needs to come to Chattanooga!!!!!
10151392572057592_25952115	Come to Illinois!
10151404405045163_25052952	I love minions
10151404405045163_25053100	lol troll face
10151404405045163_25053104	troll face lol
10151404405045163_25053108	troll face
10151404405045163_25053286	Nessie Herrera lolll xD
10151404405045163_25053387	im ganna se dis
10151404405045163_25054061	super
10151404405045163_25054488	Marizsa Lopez
10151404405045163_25054686	Michele Riccio
10151404405045163_25054719	Nicole Anne Bates
10151404405045163_25055406	Cristina Lopez
10151404405045163_25055816	casi me hago del bano
10151404405045163_25056310	Ana Paola Torre Schiavon 'ira!!! :D
10151404405045163_25057122	Diana Vicente Ana Cruz
10151404405045163_25058060	more!!!
10151404405045163_25058482	Meli Q. Carrillo mi amor vea!!!
10151404405045163_25060452	so cute :)
10151404405045163_25062534	Robin Patterson
10151404405045163_25066220	Daniela Santiago
10151404405045163_25079303	Wizz Valenzuela so its called salute. . .lol
10151404405045163_25097240	papi me llevas al cine a verala papi
10151404405045163_25196456	Nicole Brandel OMG THE FIREMEN XD
10151389928987592_9595173	Lol
10151389928987592_9595181	So cute : )
10151389928987592_9595283	Hello
10151389928987592_9595297	Melissa Ortiz
10151389928987592_9595307	Brittany Ann Wurtzel dispicable me
10151389928987592_9595311	=)) ... pipo pipo pipo ... LOL
10151389928987592_9595415	Lol
10151389928987592_9595972	Troll minions
10151389928987592_9596152	Rabia Mcfabia
10151389928987592_9596168	Gianna Nicole
10151389928987592_9596388	Tonianne Tonianne Boe
10151389928987592_9596601	Camille Motta  sua cara!
10151389928987592_9596966	Vica Kuo
10151389928987592_9596990	Lol
10151389928987592_9600320	Hello troll minion
10151389928987592_9600605	Laura Andurell Fran Ribalta Albado Sònia Tordera Pat Wallace
10151389928987592_9600650	Lol
10151389928987592_9600934	so cute >_<
10151389928987592_9602020	Liliana Castillo
10151389928987592_9604351	Lol
10151389928987592_9605708	my favorite color !!!!!!
10151389928987592_9606744	Despicable me 2!!! oh! amazing
10151389928987592_9607203	nice
10151389928987592_9607234	oh no evil minions :(
10151389928987592_9611974	=.=lll
10151389928987592_9613764	Lol
10151389928987592_9614708	Lol
10151389928987592_9615240	Lol
10151389928987592_9620054	Alicia Fleming
10151389928987592_9623939	chega logo
10151389928987592_9627542	Fili Sanchez
10151389928987592_9632727	troll minion
10151389928987592_9643586	Still so cute
10151389928987592_9648946	Julia Caparotta
10151389928987592_9670390	Bruna Chianca
10151389530077592_9806920	Joanna Lam
10151387585027592_9570173	so cute <3 ... :D.next .... pi-po pi-po pi-po ...
10151387585027592_9571462	Lol
10151387585027592_9573834	Hallie Carol !!
10151387585027592_9574948	so cute!
10151387585027592_9576309	Lol
10151387585027592_9576881	Lol
10151387585027592_9576983	amazing, so funny lol !!!!!!!!!!!!!!
10151378728487592_9495270	Lol
10151378728487592_9495271	Lol
10151378728487592_9495354	so cute ..
10151378728487592_9495402	so cute xD
10151378728487592_9495420	i love itttt
10151378728487592_9495456	Lol I love Agnes
10151378728487592_9495647	She's so cute I'm gonna diiiiiiiie !!!!!!!!!
10151378728487592_9495853	I love unicorn ..... I love unicorn.....
10151378728487592_9496153	Lol
10151378728487592_9496377	Lol cute
10151378728487592_9496388	NataLia Garcia  igualita :p
10151378728487592_9496410	Its so fluffy im gunna die!!!
10151378728487592_9496437	My favorite part
10151378728487592_9496579	My favorite movie
10151378728487592_9496715	Papoi !!!! Lol
10151378728487592_9497955	Lol
10151378728487592_9498019	I LOVE IT GIRLS
10151378728487592_9499406	I LOVE AGNES!!!!!:):)
10151378728487592_9499407	Jessi Garcia
10151378728487592_9499429	Agnes so so cute <3
10151378728487592_9499518	Lol
10151378728487592_9500096	Lol
10151378728487592_9501234	Cute cartoon.....  LOL
10151378728487592_9503375	dispicable me
10151378728487592_9507838	so cute
10151378728487592_9521746	Lol
10151378728487592_9529072	cute cute talaga ni agnes
10151378728487592_9647464	my cedella/mele
10151377560987592_9530719	i love to see it
10151374761677592_9467581	Sergio Cheo Ramirez
10151374761677592_9468642	Come to Tampa!!!
10151374761677592_9474475	I did it I did ittttt :)
10151374761677592_9483392	Come to cali
10151374761677592_9483881	potato
10151374761677592_9484577	Francine Cruz
10151374761677592_9485121	Come to Oregon!
10151374761677592_9485487	Come to salem,massachuttes
10151374761677592_9485569	Maria Tereza Antunes
10151374761677592_9485663	Marita Francisco e Fabiana Saenz mirem isso !
10151374761677592_9487915	Quira Nicole DeLuca
10151373221772592_9452891	i love minions ♥ :)
10151373221772592_9452985	I love my little minion
10151373221772592_9453211	Callie Y
10151373221772592_9453311	Diana Izaguirre
10151373221772592_9453405	Lizette Moran
10151373221772592_9453466	Ok para irla a ver => Maria Rodriguez
10151373221772592_9453485	Mah cutiezz! <3 i luv 'em all!
10151373221772592_9453525	Lol
10151373221772592_9453811	Pappoii
10151373221772592_9453958	Oh dispicable me
10151373221772592_9454237	Michelle Molina
10151373221772592_9454460	my favorite movie.
10151373221772592_9456019	so cute..
10151373221772592_9456292	so cute
10151373221772592_9456867	Bruna Chianca
10151373221772592_9456950	so cute^_^
10151373221772592_9461295	So cute!!!!!
10151373221772592_9463632	Bella!!!!!!! :-) :-) :-)
10151373221772592_9464015	so cute!
10151373221772592_9465430	Michelle Salazar u
10151373221772592_9465967	Kevin Villazon
10151373221772592_9466618	Caroline Paige
10151373221772592_9477197	nice...
10151373221772592_9520977	Laziafirza Afa padat x? =p
10151368188367592_9411996	Jessi Garcia
10151368188367592_9412066	My favorite part
10151368188367592_9412120	Grace Haggard
10151368188367592_9412125	My favorite scene
10151368188367592_9412131	I love dat movie!!!
10151368188367592_9412161	Mila Simendic
10151368188367592_9412263	Love Despicable Me, still.
10151368188367592_9412405	so cute
10151368188367592_9412648	la la i l <3 ove unicorn...... :-* :-) <3
10151368188367592_9412813	loved dis scene...!!
10151368188367592_9412905	so cute.........
10151368188367592_9412992	Michelle Molina
10151368188367592_9413761	Lol
10151368188367592_9414225	nice
10151368188367592_9414869	*punch
10151368188367592_9415899	Lol
10151368188367592_9420096	So cute!!!!
10151368188367592_9457024	Felipe Oropeza Meraz
10151358900552592_9346692	@maria azhunova LMFAOOO!!!
10151358900552592_9347261	Is one in dallas in duncanville
10151358900552592_9350229	I love dispicable me
10151357593987592_9337576	Olivia Vincelli
10151357593987592_9337652	It so fluffy I'm gonna die. :D
10151357593987592_9337667	I'll staff u all in da crust!...Gru
10151357593987592_9337794	Gotta L♥VE Agnes~ It's so FLUFFY, I'm gonna die!
10151357593987592_9338036	NataLia Garcia
10151357593987592_9338750	la pelicula faborita de mi nena
10151357593987592_9342266	my all time favorite movie
10151357593987592_9354032	it's so fluffy i'm gonna die!
10151357593987592_9372794	Sandra Luo
10151356679127592_9326797	so epic !! =)))
10151356679127592_9422765	:) col
10151354936607592_9313137	Lol classic
10151354936607592_9313674	Lol
10151354936607592_9313873	Gotta love Gru
10151354936607592_9315559	so true
10151354936607592_9317410	YaCc Fa nemidonam chie in!
10151349338522592_9279598	I use "not cool" more
10151349338522592_9279607	i use FREEZRAY!
10151349338522592_9279854	Sometimes
10151349338522592_9280053	Kaydens favorite cartoon gru
10151349338522592_9280537	Bianca Christine Perez
10151349338522592_9280696	Lola Doolittle
10151349338522592_9662616	Nicole Cline-Martin
10151348454597592_9274034	Come to Ohio!
10151346803897592_9261930	its so fluffy, im gonna die
10151346803897592_9262008	so fluffy I'm gonna die <3
10151346803897592_9262124	i'm gonna die..!!!
10151346803897592_9262456	so cute :">
10151346803897592_9262812	popoi no no mopoi, mopoi mopoi !!! :p
10151346803897592_9263006	Unicorn
10151346803897592_9263181	*cuz
10151346803897592_9263594	so cute
10151346803897592_9266317	so cute
10151346803897592_9269274	Its' so fluffy i'm gonna die
10151346803897592_9278278	so cute !!!!!!!!!!!!!!
10151346803897592_9293684	alissa u are right
10151346803897592_9463771	She so pretty
10151346803897592_9532264	so cute !!
10151345779257592_25553727	My favorite movie !
10151345779257592_25553744	whaatttttttttttttttttt lol love it :)
10151345779257592_25553871	Claudia Zuriarrain Erica George
10151345779257592_25554022	Michelle Molina
10151345779257592_25558244	Vanessa Gallegos
10151345779257592_25559257	Lol
10151345779257592_25572435	OMG so cute
10151345779257592_25582169	so cute!
10151344757337592_9244804	Lauretta Scaglione
10151344757337592_9244855	Gianna Nicole
10151339830222592_9210370	Gianna Nicole
10151339830222592_9210457	gotta get me a minion lol
10151339830222592_9210895	Rebecca Leonard
10151339830222592_9211271	nice
10151339830222592_9211827	Lol
10151339830222592_9212848	Francesca Goei Stephanie Hoopiiaina Lindsay Nicole Vela :)
10151339830222592_9213743	Romar Santiago
10151339830222592_9214692	Lol
10151339830222592_9219654	Para ti tanbien mi bella gatita de parte de mama felis dia de ester
10151339830222592_9237335	so.. cute
10151338374067592_9201322	Stephen Giovanetto
10151338374067592_9201358	Lol
10151338374067592_9201380	To do some supercool stuff. LIKE SLEEPING...
10151338374067592_9201539	idiot
10151338374067592_9201626	Lol
10151338374067592_9201893	My favorite line!!!
10151338374067592_9202550	Pinche mono se parece a ti PRI!!! Lol
10151338374067592_9202778	Lol
10151338374067592_9203587	Hahaha Very nice!! Paola Lorenzetti ;)
10151338374067592_9204306	Lol
10151338374067592_9205912	No son piamas
10151338374067592_9206547	lolzzzz ! i love his character
10151338374067592_9210430	Hell no!!!! Stephanie Gonzalez
10151338374067592_9796542	Lol
10151337120202592_9191605	Marissa Valente
10151337120202592_9192773	i love despicable me!!
10151335750077592_9179878	So cutipie...:-)
10151335750077592_9180342	i <3 dis
10151335750077592_9186880	So cute!
10151335750077592_9188164	ang cute ni agnees
10151335750077592_9188179	so cute
10151330664562592_9157284	Lol
10151330664562592_9157436	Lol
10151330664562592_9157614	i love minions
10151330664562592_9158390	Lol
10151330664562592_9159957	Lol
10151330664562592_9161748	ganda   neto
10151330664562592_9163090	dates plzzzzzzzzz !!
10151330664562592_9163452	Ditto!
10151330420587592_9148083	Rhianna Quine Hailey Rardon
10151330420587592_9148644	I love dispecable me!
10151330213927592_9146502	Alicia Sabatino
10151330213927592_9146564	i wazz rite
10151330213927592_9146695	Omg, I need a minion costume!
10151330213927592_9146826	I GUESSED IT!!!
10151330213927592_9146885	cool blimp
10151330213927592_9147310	So Sad, no Chicago stop. sad minion
10151330213927592_9148842	little minions
10151330213927592_9150147	nic pic
10151330213927592_9150317	Loco Marco Natalie To
10151330213927592_9151150	so cute <3
10151330213927592_9151627	Romar Santiago
10151330213927592_9161352	despicabble 2
10151330213927592_9164836	I LOVE MINIONS!
10151329306012592_9139030	Lol
10151329306012592_9139036	so cute <_<
10151329306012592_9139405	Lol
10151329306012592_9139467	K-La Marie Zotter
10151329306012592_9139525	T.j. Catto
10151329306012592_9140295	Linnea Cavallo
10151329306012592_9140351	Cristo viene
10151329306012592_9140650	Lol
10151329306012592_9142308	mooossttt favorite!!!
10151329306012592_9143098	So cute!
10151329306012592_9145612	ni--ce ni--ce ni--ce
10151329306012592_9146799	Becca Becca Lane Correll
10151329306012592_9161358	J aime trop
10151329306012592_9170554	Ariella Gabriella
10151329306012592_9750976	Preston Łomenzo
10151328985102592_9135207	A horizontal minion?
10151328985102592_9135216	a mi nion
10151328985102592_9135237	a blimp
10151328985102592_9135278	goldin dick?
10151328985102592_9135285	a minion zeppelin
10151328985102592_9135293	No not pencil I mean minion
10151328985102592_9135302	a blimp
10151328985102592_9135310	a minion))
10151328985102592_9135319	a minion blimp
10151328985102592_9135355	Colorful dick???
10151328985102592_9135383	dirigible
10151328985102592_9135411	minion blimp lmfao
10151328985102592_9135418	Super minion
10151328985102592_9135462	minion blimp
10151328985102592_9135480	Submarine.
10151328985102592_9135585	a Missile :o
10151328985102592_9135590	minion gnome.
10151328985102592_9135612	minion blimp
10151328985102592_9135627	a minion
10151328985102592_9135718	A giant minon
10151328985102592_9135728	dildo?
10151328985102592_9135733	a minion
10151328985102592_9135736	a minion blimp
10151328985102592_9135777	a dick
10151328985102592_9135801	Who did a video still in 240?
10151328985102592_9135802	a blimp
10151328985102592_9135808	Colorful dick ? LOL
10151328985102592_9135853	a blimp
10151328985102592_9135859	mario
10151328985102592_9135865	a blimp
10151328985102592_9135889	a minion!
10151328985102592_9135894	a dick!
10151328985102592_9135944	a dildo
10151328985102592_9135988	leteci balon
10151328985102592_9135991	super sonci minion
10151328985102592_9135996	a minion
10151328985102592_9136063	minion blimp
10151328985102592_9136161	mionion
10151328985102592_9136165	a minion
10151328985102592_9136257	a minion blimp
10151328985102592_9136296	a dildo
10151328985102592_9136335	Minoion
10151328985102592_9136347	horizontal minion!
10151328985102592_9136373	Its a minon blimpDo I get a prize?
10151328985102592_9136403	minion blimp
10151328985102592_9136404	minion blimp
10151328985102592_9136429	a minion
10151328985102592_9136474	a blimp
10151328985102592_9136572	a minion
10151328985102592_9136579	a minion!
10151328985102592_9136581	cartoon fich
10151328985102592_9136652	a minion
10151328985102592_9136775	a dick
10151328985102592_9136813	minion blimp
10151328985102592_9136822	nife
